full_name;sex;birth_year;city;country;continent;occupation;industry;domain;article_languages;page_views;average_views;historical_popularity_index
Daniel Defoe;Male;1660;London;United Kingdom;Europe;Writer;Language;Humanities;74;5068560;68494;274.743
Hermann Göring;Male;1893;Rosenheim;Germany;Europe;Politician;Government;Institutions;65;13431192;206634;274.733
Vlad III the Impaler;Male;1431;Sighişoara;Romania;Europe;Nobleman;Government;Institutions;58;10926855;188394;274.686
Catherine II of Russia;Female;1729;Szczecin;Poland;Europe;Nobleman;Government;Institutions;82;11407818;139120;274.659
Napoleon III of France;Male;1808;Paris;France;Europe;Politician;Government;Institutions;76;8875567;116784;274.581
Pierre-Auguste Renoir;Male;1841;Limoges;France;Europe;Painter;Fine Arts;Arts;76;9769102;128541;274.535
Marlon Brando;Male;1924;Omaha;United States;North America;Actor;Film And Theatre;Arts;100;25201124;252011;274.523
Pelé;Male;1940;Três Corações;Brazil;South America;Soccer Player;Team Sports;Sports;88;24153197;274468;274.466
Pope John Paul II;Male;1920;Wadowice;Poland;Europe;Religious Figure;Religion;Institutions;110;38369456;348813;274.423
Basho;Male;1644;Iga-Ueno;Japan;Asia;Writer;Language;Humanities;101;3080802;30503;274.402
Bertrand Russell;Male;1872;Trellech;United Kingdom;Europe;Mathematician;Math;Science & Technology;98;11265316;114952;274.394
Hero of Alexandria;Male;10;Alexandria;Egypt;Africa;Mathematician;Math;Science & Technology;51;2430736;47661;274.369
Polybius;Male;-203;Megalopolis;Greece;Europe;Historian;History;Humanities;56;2189681;39101;274.349
Herod the Great;Male;-73;Jericho;Palestine;Asia;Politician;Government;Institutions;52;6033474;116028;274.241
Émile Zola;Male;1840;Paris;France;Europe;Writer;Language;Humanities;72;10586574;147036;274.237
Pippin the Younger;Male;714;Liege;Belgium;Europe;Politician;Government;Institutions;63;3422406;54324;274.182
Henry Ford;Male;1863;Detroit;United States;North America;Inventor;Invention;Science & Technology;109;16670930;152944;274.166
Thutmose III;Male;-1481;Other;Unknown;;Politician;Government;Institutions;48;2314325;48215;274.158
Denis Diderot;Male;1713;Langres;France;Europe;Writer;Language;Humanities;75;6916959;92226;274.148
Enoch;Male;-3500;Other;Unknown;Unknown;Religious Figure;Religion;Institutions;36;1150313;31953;274.143
Charles de Secondat, baron de Montesquieu;Male;1689;La Brède;France;Europe;Philosopher;Philosophy;Humanities;68;11018917;162043;274.096
Giacomo Casanova;Male;1725;Venice;Italy;Europe;Writer;Language;Humanities;61;8481120;139035;274.066
James, son of Alphaeus;Male;-1;Galilee;Israel;Asia;Religious Figure;Religion;Institutions;53;678914;12810;274.029
Oliver Cromwell;Male;1599;Huntingdon;United Kingdom;Europe;Politician;Government;Institutions;70;12635265;180504;274.027
Djoser;Male;-2700;Other;Unknown;Unknown;Politician;Government;Institutions;47;1424091;30300;273.983
Ptolemy I Soter;Male;-367;Other;Unknown;;Military Personnel;Military;Institutions;50;1992173;39843;273.973
Franklin D. Roosevelt;Male;1882;Poughkeepsie;United States;North America;Politician;Government;Institutions;113;34162617;302324;273.888
Henri Matisse;Male;1869;Le Cateau-Cambrésis;France;Europe;Painter;Fine Arts;Arts;100;12745847;127458;273.886
Henrik Ibsen;Male;1828;Skien;Norway;Europe;Writer;Language;Humanities;83;6384187;76918;273.881
Gaius Marius;Male;-157;Arpino;Italy;Europe;Diplomat;Government;Institutions;46;2819852;61301;273.871
Kublai Khan;Male;1215;Other;China;Asia;Politician;Government;Institutions;69;5144799;74562;273.855
Horatio Nelson, 1st Viscount Nelson;Male;1758;Norfolk;United Kingdom;Europe;Military Personnel;Military;Institutions;62;2583710;41673;273.833
Zhuge Liang;Male;181;Shandong;China;Asia;Engineer;Engineering;Science & Technology;32;6837259;213664;273.814
Otho;Male;32;Viterbo;Italy;Europe;Politician;Government;Institutions;56;1391145;24842;273.792
Job;Male;-2300;Other;Unknown;Unknown;Religious Figure;Religion;Institutions;45;1652110;36714;27.368
Ishmael;Male;-3500;Canaan;Israel;Asia;Religious Figure;Religion;Institutions;40;4670474;116762;273.675
